TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
2,0.2350676506757736,0.3598521649837494,0.7495434880256653,saopaulo,4,False,False,True
3,0.2238781601190567,0.354237288236618,0.7686083316802979,saopaulo,4,False,False,True
1,0.56979900598526,0.5711644291877747,0.3415921628475189,chicago,4,False,True,True
2,0.5208585858345032,0.5409281253814697,0.4773822426795959,chicago,4,False,True,True
3,0.5528943538665771,0.5505542159080505,0.4475398063659668,chicago,4,False,True,True
1,0.9185280799865724,0.7809246778488159,-0.0071507296524941,london,2,True,True,True
3,1.0311516523361206,0.834368884563446,-0.002940681297332,london,2,True,True,True
4,1.065777063369751,0.8548609018325806,-0.0236330106854438,london,2,True,True,True
1,0.2820826768875122,0.4006926715373993,0.6988798379898071,boston,3,True,False,False
2,0.2325402349233627,0.3626169860363006,0.7702445387840271,boston,3,True,False,False
4,0.2538351714611053,0.3761641681194305,0.743862509727478,boston,3,True,False,False
1,0.2210201919078827,0.3525618314743042,0.7567263841629028,saopaulo,2,False,False,False
3,0.2310786545276641,0.3635867536067962,0.7611111402511597,saopaulo,2,False,False,False
4,0.2400137931108474,0.3705416917800903,0.7343919277191162,saopaulo,2,False,False,False
1,0.543979823589325,0.5407978296279907,0.398193895816803,london,3,False,True,False
2,0.5765811204910278,0.5723406076431274,0.3888877630233764,london,3,False,True,False
4,0.7236295938491821,0.6365953087806702,0.3074659407138824,london,3,False,True,False
1,0.1944529712200164,0.3192897737026214,0.7781031131744385,chicago,2,False,False,False
3,0.1837755888700485,0.3087058961391449,0.8155099749565125,chicago,2,False,False,False
4,0.2088816463947296,0.3259678781032562,0.8042861819267273,chicago,2,False,False,False
1,0.2450264394283294,0.3694855868816376,0.7320607900619507,saopaulo,4,True,False,False
2,0.2438623756170272,0.3674789071083069,0.7400457262992859,saopaulo,4,True,False,False
3,0.2352194935083389,0.3636253774166107,0.7568531036376953,saopaulo,4,True,False,False
1,0.4823336899280548,0.4973466098308563,0.4663242697715759,london,2,False,True,False
3,0.7428208589553833,0.6268360018730164,0.278119146823883,london,2,False,True,False
4,0.8095450401306152,0.6562978029251099,0.2259139269590377,london,2,False,True,False
1,1.016412615776062,0.8079513311386108,-0.1253293603658676,saopaulo,2,True,True,False
3,1.0323001146316528,0.8148099184036255,-0.0665303468704223,saopaulo,2,True,True,False
4,1.3661084175109863,0.952239990234375,-0.5501267313957214,saopaulo,2,True,True,False
1,0.8270406126976013,0.7004087567329407,0.0543414242565631,chicago,2,True,True,False
3,0.6872063875198364,0.6479990482330322,0.3100155591964721,chicago,2,True,True,False
4,0.8713857531547546,0.7264420390129089,0.1947028934955597,chicago,2,True,True,False
1,0.1830018609762191,0.3200692236423492,0.8050171136856079,boston,3,False,False,True
2,0.1988895535469055,0.3261107206344604,0.8034924864768982,boston,3,False,False,True
4,0.235212966799736,0.3474041521549225,0.7628807425498962,boston,3,False,False,True
random,0.6701617240905762,0.6486873626708984,0.3284061849117279,chicago,random,True,True,False
1,0.2364102751016616,0.3631990253925323,0.7412031888961792,saopaulo,4,True,False,True
