TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
2,0.475675880908966,0.4892061352729797,0.5226526260375977,chicago,1,False,True,True
3,0.5357044339179993,0.5125919580459595,0.4649808704853058,chicago,1,False,True,True
4,0.6753837466239929,0.5839239358901978,0.3850937485694885,chicago,1,False,True,True
1,0.7223936319351196,0.6614245176315308,0.188830092549324,saopaulo,4,False,True,False
2,0.700003981590271,0.6484432220458984,0.246598482131958,saopaulo,4,False,True,False
3,0.6457559466362,0.6159774661064148,0.3325923383235931,saopaulo,4,False,True,False
1,0.3824998140335083,0.4689606726169586,0.6194495558738708,hongkong,3,False,False,True
2,0.3688171505928039,0.4561254680156708,0.6265347599983215,hongkong,3,False,False,True
4,0.3876700401306152,0.4614039063453674,0.6060753464698792,hongkong,3,False,False,True
1,1.1899720430374146,0.8832210898399353,-0.3277788460254669,saopaulo,3,True,True,False
2,1.0288325548171997,0.8225353360176086,-0.0999154970049858,saopaulo,3,True,True,False
4,1.060021996498108,0.8372141718864441,-0.1921688467264175,saopaulo,3,True,True,False
1,0.2013357430696487,0.3278441727161407,0.7711421251296997,chicago,3,True,False,False
2,0.1793228983879089,0.305054247379303,0.821435809135437,chicago,3,True,False,False
4,0.1941155195236206,0.3137548267841339,0.8176066875457764,chicago,3,True,False,False
random,0.1484096944332122,0.2731243669986725,0.8510215878486633,chicago,random,False,False,True
1,0.2055446952581405,0.3263685703277588,0.7670922875404358,chicago,4,True,False,True
2,0.1753293722867965,0.3013708889484405,0.8254985213279724,chicago,4,True,False,True
3,0.172148197889328,0.2974023818969726,0.8272625207901001,chicago,4,True,False,True
2,0.3778841495513916,0.4496736228466034,0.6173889636993408,hongkong,1,False,False,False
3,0.4145479202270508,0.4671069383621216,0.5861570239067078,hongkong,1,False,False,False
4,0.4492223858833313,0.4881819188594818,0.5429982542991638,hongkong,1,False,False,False
1,0.925853431224823,0.7845476269721985,-0.0162049736827611,london,4,True,True,True
2,0.9739338159561156,0.8102777004241943,-0.0273688230663537,london,4,True,True,True
